year_quarter,android,angular,arrays,azure,c,c#,c++,css,dart,dataframe,django,docker,excel,flutter,html,java,javascript,laravel,node.js,pandas,php,postgresql,python,python-3.x,r,react-native,reactjs,spring-boot,sql,typescript
2022 Q2,3.18,1.58,1.93,0.95,1.51,4.47,2.99,3.08,1.36,1.94,1.6,1.35,1.39,2.77,4.29,5.37,11.58,1.34,3.07,3.28,2.95,1.08,17.11,2.21,3.64,1.3,6.03,1.24,3.07,2.34
2022 Q3,3.2,1.71,1.85,1.18,1.42,4.69,2.65,2.93,1.72,1.88,1.91,1.37,1.47,3.12,4.23,4.89,11.62,1.43,3.03,3.26,2.75,1.34,17.03,2.22,3.52,1.11,5.84,1.22,2.78,2.66
2022 Q4,2.97,1.64,2,1.17,1.81,4.84,2.78,3.14,1.57,2.03,1.55,1.25,1.37,2.88,4.07,5.2,10.88,1.39,2.96,3.14,2.53,1.4,17.42,2.23,3.7,1.35,5.74,1.47,2.89,2.65
2023 Q1,3.2,1.82,1.35,1.35,1.59,5.05,2.7,3.22,1.7,1.78,1.56,1.57,1.63,3.26,4,5.35,10.45,1.34,2.88,2.89,2.55,1.58,16,2.09,3.86,1.27,5.92,1.96,2.72,3.32
2023 Q2,3.51,1.77,1.36,1.42,1.82,5.3,2.79,3.25,1.18,1.48,1.51,1.64,1.61,3.13,4.04,5.46,10.28,1.35,3.3,2.35,2.75,1.51,15.67,2.23,3.97,1.34,6.05,1.8,2.91,3.21
2023 Q3,3.93,1.84,1.19,1.7,1.66,5.73,2.84,2.94,1.51,1.32,1.61,1.71,1.93,3.33,3.69,5.69,9.88,1.47,3.31,2.19,2.67,1.56,15.79,1.96,3.68,1.4,5.88,2.04,2.34,3.23
2023 Q4,4.05,2.28,1.13,1.9,1.74,6.12,3.46,3.3,1.42,1.39,1.51,1.65,1.81,3.33,3.99,5.27,9.39,1.65,2.99,2.23,2.93,1.61,14.82,2.08,4.03,1.33,5.38,1.88,2.11,3.22
2024 Q1,3.91,2.19,1.07,1.75,2.11,5.82,3.08,3.21,1.66,1.1,1.24,1.92,2.03,3.98,3.72,5.72,9.26,1.42,2.84,1.99,2.8,1.65,15.05,1.93,4.03,1.74,5.33,2.12,2.27,3.06
2024 Q2,4.67,2.64,0.72,2.07,1.62,6.09,3.04,2.51,1.44,1.09,1.94,2.13,1.77,3.72,3.17,5.66,9.22,1.63,3.19,1.62,2.64,1.53,15.83,1.56,3.12,2.26,5.88,2.06,2.2,2.99
2024 Q3,5.1,2.95,0.67,2.13,1.44,6.14,3.95,2.31,1.32,0.83,1.53,2.36,1.86,3.98,3.4,4.47,8.32,1.73,2.9,1.5,2.67,1.84,15.93,1.82,2.77,1.87,5.98,2.2,2.2,3.86
2024 Q4,4.86,2.74,0.82,2.62,1.6,6.24,3.29,2.79,1.32,0.82,1.45,2.07,2.07,3.47,3.22,5.99,8.21,1.6,3.14,1.42,3.09,1.87,15.29,1.65,3.07,2.59,4.44,2.74,1.8,3.72
2025 Q1,5.41,2.6,0.56,2.94,1.82,6.74,4.64,3.28,1.05,0.53,1.17,2.22,2.13,3.58,3.86,6.4,7.57,1.3,2.41,0.87,2.47,2.29,15.36,1.05,3.03,2.26,4.67,2.1,2.26,3.46
2025 Q2,5.56,3.7,1.23,4.94,2.47,6.79,5.56,3.09,0,0.62,1.85,2.47,2.47,1.23,3.09,7.41,8.64,0.62,1.85,0.62,3.09,0.62,9.88,1.85,4.32,3.7,4.32,3.09,3.09,1.85
